instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0047,﻿church,﻿Parish Church of Na. Sen. de los Dolores,English,,,﻿Cevoyeta,,,﻿Cevoyeta,﻿Seboyeta,﻿NM,,35.20115,-107.389214,,,,﻿raf_chaves_001,﻿Rev.,﻿Rafael Chaves,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0049,﻿chapel,not recorded,English,,,﻿Cevoyeta,,,﻿Cubero,﻿Cubero,﻿NM,,35.085875,-107.518105,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0050,﻿chapel,﻿St. Joseph's Chapel,English,,﻿Indian Pueblo,﻿Cevoyeta,,,﻿La Laguna,﻿Laguna,﻿NM,,35.03468,-107.38845,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0051,﻿chapel,﻿St. Joseph's Chapel,English,,﻿Indian Pueblo,﻿Cevoyeta,,,﻿Acoma,﻿Acoma,﻿NM,,34.896319,-107.582309,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0054,﻿chapel,not recorded,English,,﻿Indian Pueblo,﻿Cevoyeta,,,﻿Zuni,﻿Zuni Pueblo,﻿NM,,35.0678,-108.849714,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿den.co.0031,﻿church,not recorded,English,﻿new church building,,,﻿Conejos County,﻿Conejos County,﻿Los Conejos,﻿Antonito,﻿CO,﻿CO,37.088186,-106.020078,,,,﻿mig_vigil_001,﻿Rev.,﻿Miguel Vigil,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0234,﻿church,not recorded,English,,,,,,﻿San Antonio,﻿San Antonio,,﻿CO,,,﻿den.co.0031,﻿Attended from Los Conejos,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿den.co.0032,﻿chapel,﻿Chapel of San Francisco,English,,,,﻿Conejos County,﻿Conejos County,﻿Los Cerritos,﻿Los Cerritos,﻿CO,﻿CO,,,﻿den.co.0031,﻿Attended from Los Conejos,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0086,﻿church,not recorded,English,,,,,,﻿La Cueva,﻿La Cueva,,﻿NM,,,﻿den.co.0031,﻿Attended from Los Conejos,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0055,﻿church,﻿Parish Church of San Augustin,English,,﻿Indian Pueblo,﻿Isleta,,,﻿Isleta,﻿Isleta Village,﻿NM,,34.90783,-106.693081,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0056,﻿chapel,﻿Chapel of San José,English,,,﻿Isleta,,,﻿Padillas,﻿Albuquerque,﻿NM,,35.042073,-106.646815,﻿san.nm.0055,﻿Chapel attended from Isleta,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0057,﻿chapel,﻿Chapel of San Rafael,English,,,﻿Isleta,,,﻿Pajarito,,﻿NM,,34.988268,-106.771023,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0058,﻿chapel,not recorded,English,,,﻿Isleta,,,﻿Los Lunas,﻿Los Lunas,﻿NM,,34.766669,-106.618068,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0059,﻿church,﻿Parish Church of Santiago,English,,﻿Indian Pueblo,﻿Jemes,,,﻿Jemes,﻿Jemez Pueblo,﻿NM,,35.613917,-106.725868,,,,﻿n_valencia_001,﻿Rev.,﻿Nicholas Valenica,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0235,﻿church,﻿N. Señora de Guadalupe,English,,,,,,﻿El Cañon de Jemes,﻿Cañon,﻿NM,,,,﻿san.nm.0059,﻿attended from Jemes,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0060,﻿chapel,﻿San Isidro's Chapel,English,,,,,,,,﻿NM,,35.563363,-106.770591,﻿san.nm.0059,﻿attended from Jemes,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0061,﻿chapel,﻿San Isidro's Chapel,English,,﻿Indian Pueblo,﻿Jemes,,,﻿Silla,,﻿NM,,34.972731,-105.032363,﻿san.nm.0059,﻿attended from Jemes,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0062,﻿chapel,not recorded,English,,﻿Indian Pueblo,﻿Jemes,,,﻿Santa Ana,﻿Santa Ana Pueblo,﻿NM,,35.339985,-106.522529,﻿san.nm.0059,﻿attended from Jemes,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0068,﻿church,﻿Asuncion de N. Señora,English,,,﻿Las Vegas,,,﻿Las Vegas,﻿Las Vegas,﻿NM,,35.594214,-105.222798,,,,﻿t_f_pinard_001,﻿Rev.,﻿T. Francisco Pinard,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0071,﻿chapel,﻿Chapel of N. Sen. de los Dolores,English,,,﻿Las Vegas,,,﻿Tecolote,﻿Tecolote,﻿NM,,35.46028,-105.28,﻿san.nm.0068,﻿attended from Las Vegas,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0126,﻿church,not recorded,English,,,﻿Sapello,,,﻿Sapello,﻿Sapello,﻿NM,,35.77282,-105.253344,,,,﻿f_jouvenceau_001,﻿Rev.,﻿M. Juvenceau,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0127,﻿chapel,not recorded,English,,,﻿Sapello,,,﻿Monton de Alamos,﻿Sapello,﻿NM,,35.730842,-105.151253,﻿san.nm.0126,﻿Attended from Sapello,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0130,﻿chapel,not recorded,English,,,﻿Sapello,,,﻿Las Golondrinas,﻿Golondrinas,﻿NM,,35.889484,-105.186676,﻿san.nm.0126,﻿Attended from Sapello,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0131,﻿chapel,not recorded,English,,,﻿Sapello,,,﻿Rincon del Terolote,﻿Rociada,﻿NM,,35.823807,-105.402555,﻿san.nm.0126,﻿Attended from Sapello,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0078,﻿church,﻿Parish Church of Santa Gertrudis,English,,,﻿Mora,,,﻿Mora,﻿Mora,﻿NM,,35.973066,-105.330147,,,,﻿dam_taladrid_001,﻿Rev.,﻿Damaso Taladrid,﻿Pastor,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0080,﻿chapel,not recorded,English,,,﻿Mora,,,﻿Guadalupita,﻿Guadalupita,﻿NM,,36.138175,-105.23764,﻿san.nm.0068,﻿attended from Las Vegas,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0086,﻿chapel,not recorded,English,,,﻿Mora,,,﻿La Cuera,﻿La Cuera,﻿NM,,35.591146,-105.733072,﻿san.nm.0068,﻿attended from Las Vegas,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0083,﻿chapel,not recorded,English,,,﻿Mora,,,﻿Agua Negra,﻿Holman,﻿NM,,36.038366,-105.383624,﻿san.nm.0068,﻿attended from Las Vegas,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0084,﻿chapel,﻿San Antonio,English,,,﻿Mora,,,,﻿Chacon,﻿NM,,33.915384,-106.867586,﻿san.nm.0068,﻿attended from Las Vegas,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0074,﻿church,not recorded,English,"﻿stone church building, vacant",﻿Parish Church,﻿Mausano,,,﻿Mausano,﻿Manzano,﻿NM,,34.646727,-106.345019,,,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0075,﻿chapel,not recorded,English,,,﻿Mausano,,,﻿Chilili,﻿Chilili,﻿NM,,34.889497,-106.232802,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0076,﻿chapel,not recorded,English,,,﻿Mausano,,,﻿Torreon,﻿Torreon,﻿NM,,34.72228,-106.298631,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0077,﻿chapel,not recorded,English,,,﻿Mausano,,,﻿Tajique,﻿Tajique,﻿NM,,34.751724,-106.287798,﻿san.nm.0074,﻿Chapel attended from Mausano,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
